user_id,user_name,total_cambios,primera_actividad,ultima_actividad,acciones,entity_types
69815b3100274bee9cf5,Andres,1950,2026-02-03T16:09:15.686+00:00,2026-03-16T05:10:06.510+00:00,create; delete; update,claim; entity; qualifier; reference
6977a7e0003e573ffab2,,1381,2026-02-20T19:32:54.706+00:00,2026-03-05T00:58:47.118+00:00,delete,claim; entity; qualifier; reference
698676ae0022cc20f102,Daniel Franklin Cespedes Quispe,39,2026-02-15T14:06:26.280+00:00,2026-02-27T02:54:11.439+00:00,delete; update,claim; entity; qualifier
698f3d4b0030a6682c2e,Daniela Anahi Lima Arratia,33,2026-02-20T21:00:35.369+00:00,2026-02-21T20:22:58.728+00:00,delete; update,claim
69a10afa001d6f30f1fc,Joshua Amadeus Vargas Aguilar,31,2026-03-05T06:05:17.754+00:00,2026-03-17T17:33:30.901+00:00,delete; update,claim; entity; qualifier; reference
6988c4da00252dc84e21,Maritza Mamani,18,2026-02-25T21:01:05.500+00:00,2026-02-28T04:26:27.457+00:00,delete; update,claim; qualifier; reference
69a10ae700201cd3cc6f,Yara Alba Aruni Flores,17,2026-03-02T22:14:13.099+00:00,2026-03-04T01:44:21.269+00:00,delete; update,claim; qualifier; reference
6996417b00095ab90a92,Leonel Francisco Paucara Huanca,14,2026-02-20T02:07:53.782+00:00,2026-02-21T15:31:33.946+00:00,delete; update,claim; qualifier
6988c4a6001366aa5ac8,Alam Benjamin Lovera Mamani,9,2026-02-16T18:24:07.997+00:00,2026-02-19T04:46:24.098+00:00,delete; update,claim; qualifier
6988c4bd0005d083507c,Katherin Mayte Mendoza Quispe,6,2026-02-19T15:36:50.261+00:00,2026-02-24T01:01:55.607+00:00,delete; update,claim; qualifier
